Index,Biomass species,M,Ash,VM,FC,C,H,O,N,PS,FT,HR,FR,Solid phase,Liquid phase,Gas phase
1,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,550,10.0,100.0,35.0,44.9,20.1
2,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,650,10.0,100.0,31.75,41.25,27.0
3,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,750,10.0,100.0,30.2,40.6,29.2
4,Jerusalem artichoke stick,15.76,3.34,67.4,13.5,45.36,6.11,47.26,0.75,0.5,850,10.0,100.0,28.6,36.36,35.04
5,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,550,10.0,100.0,32.85,54.38,12.77
6,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,650,10.0,100.0,30.14,55.56,14.3
7,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,750,10.0,100.0,28.4,54.75,16.85
8,reed,5.89,8.47,72.12,13.52,42.78,5.17,50.51,1.33,0.5,850,10.0,100.0,26.28,53.22,20.5
12,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,400,10.0,,26.53,33.33,39.73
13,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,500,10.0,,24.84,31.64,42.9
14,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,600,10.0,,24.1,31.02,44.1
15,Ponytail,8.12,0.76,78.95,14.04,52.33,5.81,41.66,0.2,0.3,700,10.0,,23.33,29.3,45.8
16,wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,400,10.0,,56.69,25.04,14.8
17,wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,500,10.0,,47.28,30.66,21.16
18,wheat stalk,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.1,600,10.0,,46.56,30.19,21.89
24,Wheat straw,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.4,400,,3000.0,57.13,25.07,17.69
25,Wheat straw,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.4,500,,3000.0,47.7,30.88,20.85
26,Wheat straw,7.4,5.9,69.3,17.4,41.41,5.86,45.22,1.44,0.4,600,,3000.0,47.0,30.7,22.06
27,Corn straw,7.27,3.34,74.59,14.8,,,,,,500,2.5,20.0,,,
28,Corn straw,7.27,3.34,74.59,14.8,,,,,,500,5.0,20.0,,,
29,Corn straw,7.27,3.34,74.59,14.8,,,,,,500,10.0,20.0,,,
30,bamboo,10.41,2.1,73.05,14.44,45.06,4.58,37.53,0.28,0.43,400,5.0,,,,
31,bamboo,10.41,2.1,73.05,14.44,45.06,4.58,37.53,0.28,0.43,500,5.0,,,,
32,bamboo,10.41,2.1,73.05,14.44,45.06,4.58,37.53,0.28,0.43,600,5.0,,,,
47,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,350,10.0,100.0,50.07,29.04,20.89
48,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,400,10.0,100.0,45.09,33.07,21.27
49,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,450,10.0,100.0,37.31,38.16,24.22
50,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,500,10.0,100.0,31.46,41.97,26.52
51,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,550,10.0,100.0,31.4,40.2,28.4
52,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,600,10.0,100.0,30.06,39.5,35.64
53,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,650,10.0,100.0,23.36,38.81,37.09
54,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,350,50.0,100.0,47.16,30.83,20.91
55,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,400,50.0,100.0,42.16,35.76,22.12
56,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,450,50.0,100.0,34.48,41.3,23.11
57,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,500,50.0,100.0,28.24,45.19,25.97
58,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,550,50.0,100.0,25.11,44.32,29.45
59,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,600,50.0,100.0,24.87,41.81,32.3
60,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,,650,50.0,100.0,24.21,39.5,34.13
61,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.25,500,50.0,100.0,37.4,26.94,34.17
62,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.38,500,50.0,100.0,39.54,27.94,30.99
63,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,100.0,45.49,29.14,25.71
64,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.8,500,50.0,100.0,43.82,36.41,20.44
65,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,1.35,500,50.0,100.0,41.59,37.79,20.49
66,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,50.0,39.53,33.78,26.4
67,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,100.0,45.18,27.93,27.17
68,sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,150.0,42.7,27.2,29.7
